cell_id,lon,lat,cluster_region,aridity_index,aridity_tier,kge_mean,kge_std,r_mean,r_std,alpha_mean,alpha_std,beta_mean,beta_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nrmse_mean,nrmse_std
1865,-106.0,36.5,Cold,0.2816692888736725,Semi-Arid,0.8046720012810308,0.027707150279522724,0.8867706564970016,0.016572651686702022,0.8544100431199745,0.0319168606399289,1.0531238046328082,0.03341119965866413,0.7771213675633228,0.03135950053206731,10.397846614331248,0.7533138174925691,7.900329807031213,0.6168355038964388,0.4711121509224553,0.03413161455847806
1866,-105.75,36.5,Cold,0.22292299568653107,Semi-Arid,0.7351222962523127,0.024000741126426035,0.8279936455563387,0.0079597379901197,0.8078070923113376,0.04174422567729347,1.0443843437825984,0.029197740698001278,0.6770311249176457,0.01622142516863891,11.224526905053931,0.2826028061393003,8.201346352122352,0.20197737831436782,0.5681594631727008,0.01430469720331004
1867,-105.5,36.5,Cold,0.5832599401473999,Sub-Humid,0.7579150751429894,0.04234426469777386,0.8697424413441504,0.004412218791644853,0.7997432229627265,0.051573514740744474,1.0171036220607825,0.025830261889418726,0.7474343963931076,0.009926713778860086,9.568604891169779,0.18821965902962615,7.127531538241493,0.24276854304771453,0.502481290771415,0.009884080102945945
1868,-105.25,36.5,Cold,0.42041006684303284,Semi-Arid,0.7750178905224201,0.041661896090134334,0.8502411787937335,0.011619296994928115,0.8403486489005942,0.05943990397701885,1.0181055776351482,0.032151241757131126,0.7163976432887839,0.021233679171441568,9.827684061375304,0.36751721111549196,7.143274257239328,0.1476012693863968,0.5322456424401316,0.019903919673888715
1869,-105.0,36.5,Cold,0.348491370677948,Semi-Arid,0.660267830615329,0.019467452722421782,0.7250706158083603,0.02020490028879865,0.8102385795821408,0.04716674907263433,1.0371588780123424,0.028249666592539933,0.5078760939086437,0.048305172700559736,12.524441809920319,0.6009556650225611,9.334820882189623,0.5380329639163047,0.7008702776646228,0.03362959964210729
1870,-104.75,36.5,Cold,0.25443747639656067,Semi-Arid,0.6005215895646994,0.013065836662205486,0.6642168951482448,0.013449335241258922,0.7868265197097728,0.030747644830206675,0.9821199215876113,0.019545077457837155,0.4226867317754907,0.023995176536445013,14.231009350056837,0.2959730031847292,10.262588769722868,0.23236263926073195,0.7596799098749678,0.015799634365632736
1871,-104.5,36.5,Cold,0.25516343116760254,Semi-Arid,0.6805694925504246,0.01261610333225351,0.7313395827878656,0.013566117056251815,0.8322844100643032,0.03587918924690419,1.015832091328455,0.023143663760749257,0.5205603051464501,0.02910704177986838,16.109344545805733,0.4895879996405814,11.793423361064558,0.3655097079162881,0.6921601622439851,0.021035822301793336
1872,-104.25,36.5,Cold,0.30204126238822937,Semi-Arid,0.6227937202249639,0.020729505564563645,0.6811938612551314,0.01777649550830246,0.8023228554527624,0.03808380586642942,1.002213228447727,0.024918301885793904,0.44605078079960175,0.0311982590824177,17.680558125356846,0.49509495613717075,11.989500398013117,0.45874589093806306,0.7440443164827076,0.020834895913427617
1873,-104.0,36.5,Cold,0.26918721199035645,Semi-Arid,0.5571467111928007,0.0383701902643525,0.6594968159029734,0.020469754874097953,0.7212738660389563,0.04820397765736354,0.984138796216411,0.03905910950510052,0.42492834027705084,0.029638161023623436,23.224944756882316,0.5927756931942125,15.673320194687273,0.6085370312541192,0.758137268686733,0.019350114701520295
1874,-103.75,36.5,Mixed-Dry,0.2566818296909332,Semi-Arid,0.560539319961392,0.031387478656646865,0.6590996725491927,0.0271335556625461,0.7269099299714632,0.04164723002828756,1.0009162186979228,0.0378350367158952,0.42449005605788004,0.04302299649988779,22.84263447515296,0.8389661469754369,15.380554552931935,0.6388116953071482,0.7582147091852329,0.02784777184248042
1875,-103.5,36.5,Mixed-Dry,0.2496507465839386,Semi-Arid,0.569737040250431,0.03194185755846769,0.6672401566326889,0.022428740232733554,0.7295711684651633,0.030111744595677534,1.0164924331488514,0.029192491944967574,0.4384905172480697,0.03217367157712259,23.28341756288625,0.6762103744599578,15.985422774045315,0.48716916454886927,0.7490866736451326,0.021755405052562578
1876,-103.25,36.5,Mixed-Dry,0.24475422501564026,Semi-Arid,0.5363270807336437,0.028329073921585193,0.702795013947863,0.020461686914623946,0.6467191416770579,0.026252500866069867,0.9691830118306154,0.02873261009765264,0.48585017732165314,0.030880219989443465,25.361285710521024,0.75710603959466,17.53551747560631,0.44724118335305296,0.7167869412864444,0.021398115558684806
1877,-102.75,36.5,Mixed-Dry,0.2468235194683075,Semi-Arid,0.6039515040352748,0.030470237436198436,0.7211224060154724,0.008858406363538428,0.7230447080454651,0.03917279787254457,1.0396143650868506,0.018046183697282905,0.513578399101162,0.008930732399359247,24.535374159724604,0.224418487835987,16.10564714152995,0.2502258918127129,0.6974159783091194,0.006379076928922819
1878,-101.75,36.5,Mixed-Dry,0.27112457156181335,Semi-Arid,0.6128299365541402,0.023888548287641715,0.7372001343781387,0.008679992787644612,0.7192012267662165,0.037147447213512916,0.9694053601081517,0.020773051115160153,0.5377204211596627,0.010786614072305684,22.335263126216994,0.2598094306354158,14.243896388703769,0.2724216108351885,0.6798746529120152,0.007908473944467866
1879,-101.5,36.5,Mixed-Dry,0.2716737985610962,Semi-Arid,0.5872111851511965,0.012931249353989222,0.7107436225598578,0.018243477553965864,0.7072318212109969,0.02654313954798792,1.0126827690577236,0.013927410729730636,0.5032030036060423,0.02690484639478875,23.48559519911039,0.6329905048559564,14.02738925264527,0.45018252962594335,0.7046335609096621,0.018991486043988034
1880,-101.25,36.5,Mixed-Dry,0.29259487986564636,Semi-Arid,0.5865913529706013,0.014888206769416197,0.7140411882442379,0.014183345728961894,0.702487626476548,0.02207189181042216,1.0001752106327555,0.017581336585539856,0.5084896072647056,0.01942578460867394,23.45011952801213,0.4685867783389002,13.857752142172691,0.5791135943823013,0.7009660749135334,0.014006898104559098
1881,-101.0,36.5,Mixed-Dry,0.3139924705028534,Semi-Arid,0.5840026960853787,0.021814824714517983,0.7094742389531987,0.023699612653497397,0.7030931427942259,0.014966907672976428,1.0089689962595427,0.014429984943835602,0.5026577908180494,0.03294335605538814,23.05258610589374,0.7624768341252393,13.725980386911294,0.7161519180458716,0.7049165335143248,0.023315498067226614
1882,-100.25,36.5,Mixed-Dry,0.3687352240085602,Semi-Arid,0.689368148199908,0.027516234568579642,0.7652332170685554,0.025903117010609475,0.8084581711909534,0.023211803353894143,1.062657521254882,0.02237115706318451,0.5716057517542283,0.03684767392091375,17.852099718562762,0.7601582108768249,13.261211734882313,0.48038685473635356,0.6540441575929379,0.027849779270128043
1883,-100.0,36.5,Mixed-Humid,0.3718600571155548,Semi-Arid,0.7071555678865475,0.02375362272528551,0.7663238299461756,0.022100973780635927,0.8352171844633656,0.026628727614010243,1.0521069714956146,0.031187940921665852,0.5724139756133286,0.031062671866573122,17.672981581669582,0.638336705260503,13.123372968316868,0.3448828937525588,0.6535596560353171,0.02360615358516998
1884,-99.75,36.5,Mixed-Humid,0.38140103220939636,Semi-Arid,0.7038628352237538,0.024715033425778642,0.764833698756714,0.023151745145788383,0.8259573464349103,0.023597519496513883,1.0260483816988186,0.03603916255622585,0.5763123215853824,0.03525212736971253,17.700096863628875,0.7324805568633482,12.925686909696058,0.3919983725542486,0.6504675292815574,0.026918203992924262
1885,-99.5,36.5,Mixed-Humid,0.39419153332710266,Semi-Arid,0.7232454330413816,0.02184222262379948,0.7743831551039524,0.02071937905935323,0.8486973576292796,0.0221825308247735,1.0379838226916855,0.035345606770326256,0.5871900476037549,0.02919732022607221,16.570281455349836,0.5811838379511306,12.720999234798674,0.3541861584054547,0.6421869577250358,0.02252397955813221
1886,-99.25,36.5,Mixed-Humid,0.4172098934650421,Semi-Arid,0.7360840151164331,0.012304470057480194,0.778726698463077,0.014799156488689286,0.8654409919615287,0.015764232390279857,1.0366844084248577,0.03508916820838576,0.5923060605249116,0.02787448913144078,16.66460089672021,0.5747770389984664,12.692307884778515,0.364867303461567,0.6382055366730126,0.02201228165707446
1887,-99.0,36.5,Mixed-Humid,0.43090420961380005,Semi-Arid,0.7524361878096559,0.020240355455617882,0.8020290810528845,0.016899554743827566,0.8562319876704022,0.02447751434571596,1.0295978601943507,0.014578422585760198,0.6371958325952662,0.02680082463332339,14.0167284246278,0.5135569051539827,10.655875120345282,0.29666605958019576,0.6020091037856231,0.022056925328698955
1888,-98.75,36.5,Mixed-Humid,0.44687604904174805,Semi-Arid,0.7762880369578522,0.013811601252974568,0.7979777078670856,0.008966604566378777,0.9308144309491981,0.014351569879158834,1.0594052579433084,0.032440762790052195,0.6079637315327906,0.017842450955768113,14.396333788505492,0.3254562482659919,11.038633941982486,0.25094931275984517,0.6260000377126624,0.01415191024891365
