aridity_tier,month,kge_mean,kge_std,r_mean,r_std,alpha_mean,alpha_std,beta_mean,beta_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nrmse_mean,nrmse_std
Sub-Humid,2,0.5867016031267115,0.022968841686148916,0.654326347938518,0.0132101249268458,0.8193456693479803,0.04141578549920102,1.127639394203713,0.04043085752138078,0.34563114726910393,0.03647466748078115,6.220251155639287,0.17555889151901943,4.711080207012753,0.10432504004264763,0.8086730564254095,0.022823796312248946
Sub-Humid,3,0.48736324776331336,0.01211358903197353,0.6676277123934087,0.019406715693813588,0.6178708750064584,0.019981160253590976,0.9274522435481204,0.025883256376389944,0.42532845252472856,0.01380969301342807,9.8276954559145,0.1182084134776597,7.297162727372831,0.23794508578000576,0.7580270725389712,0.009117618471176862
Sub-Humid,4,0.7508572185473923,0.010872480970474364,0.7872351529440198,0.012648629925898972,0.8972360961303183,0.03265320262204775,0.9277792963132278,0.013256532220809766,0.5830261007296575,0.028650444014273257,8.994141858272956,0.30882548055406095,7.078354576838267,0.3157582633767215,0.6454308533333941,0.022161702204169725
Sub-Humid,5,0.8543652992764825,0.030454292502026945,0.891069273787345,0.00406769721331546,0.950898095849529,0.06579707349728177,1.0444882539310578,0.05266274210571344,0.7794228400467216,0.014623037086919697,8.226256664355722,0.27140079686574303,6.346625103245533,0.14713594937045812,0.46945207764626423,0.015488170763688861
Sub-Humid,6,0.7953627968665128,0.026278637040821468,0.8525663080666398,0.00819072110077937,0.8650217609964928,0.02979762383330041,0.9806825687766644,0.040863608639108824,0.7214715945537701,0.015587836773793695,10.678809739327079,0.29860793930887886,8.1279876091513,0.20759646819310718,0.5275929178366083,0.01475290204009906
Sub-Humid,7,0.8136931288390594,0.02614393078880533,0.8658576609993993,0.00748253278178075,0.8811981359132218,0.02598505641316392,0.9633299706006941,0.03904074943823526,0.7380668873791639,0.018475859987373847,8.980853111381828,0.31568456446016446,7.045308344409927,0.3085623845104036,0.511541255873535,0.01798110675690538
Sub-Humid,8,0.6776792596127915,0.00860692522099137,0.7226644549977129,0.013392994911470175,0.8578243451580747,0.014537171578986586,0.9227516165321378,0.02600787325863576,0.4451479176316811,0.040123821168187974,10.272801525411491,0.3672179325713177,7.878123275397266,0.282231582872779,0.7445034992243584,0.026613483683199005
Sub-Humid,9,0.7158022348535733,0.01988719924764785,0.899710200935921,0.004150630859955115,0.7767205578755177,0.017582309083226274,0.8559450006624735,0.014145763504533537,0.7331309879833383,0.018655908669543086,11.6495829570521,0.40458161819553806,8.937219713577523,0.3230117646412345,0.5163446124380141,0.017932276169616804
Sub-Humid,10,0.6230712238631207,0.01489906607856118,0.8222887685855487,0.015595231805524143,0.6957684799997909,0.01613718652135945,0.8678570387519613,0.017682273647026295,0.6220501777769434,0.020766334880674066,13.308152446982124,0.3649759842112666,10.204909312346683,0.29246755615599934,0.6145913642318396,0.016855163700738012
Sub-Humid,11,0.30416573215750076,0.03714300690455814,0.6041897152843295,0.04194956523783854,0.4487747893912471,0.028242366712419437,0.8520712895724429,0.03250336840972318,0.29322697190912067,0.04302308958139694,13.903097207413799,0.4171579593582874,9.483512768732842,0.3178524416467711,0.8403953588292019,0.025215792403179123
Sub-Humid,12,0.6139982413702619,0.03194527992113331,0.6958562230532342,0.01289981656051475,0.7732279358582914,0.05531597547498424,1.0510913810301044,0.02944089669381006,0.46911397719365444,0.027933297799533463,9.38400392408819,0.2466134274295431,6.66111643235021,0.22317716060841822,0.7284180532313562,0.019142966495124862
