units,n,kge,r,alpha,beta,r2,rmse,mae,nrmse,group,aridity_tier,month,seed
fwi,16507,0.7248983216173386,0.8505696791225533,0.77266017889654,0.9591573948912728,0.7130143039853323,17.031674981424707,12.923724501227843,0.5357104591238329,Semi-Arid|10,Semi-Arid,10,1
fwi,17478,0.5772008471870408,0.6812793933961446,0.7227806496978713,0.9819519983518347,0.461279750579878,15.318871296349553,11.811579880847344,0.7339756463399327,Semi-Arid|11,Semi-Arid,11,1
fwi,16507,0.4946502866405186,0.724032490630511,0.5773075528239721,1.0234810916537518,0.5020258195488394,20.945734383016024,12.525337670203607,0.7056728565356334,Semi-Arid|12,Semi-Arid,12,1
fwi,15536,0.5862073376846058,0.6583937817878034,0.7860854164679262,1.093648865541033,0.3951630155856517,14.63802025098125,10.930940112435103,0.7777126618580594,Semi-Arid|2,Semi-Arid,2,1
fwi,17478,0.6937564536946399,0.7443316568870406,0.8681629951230148,1.1050609924216552,0.5082781139810807,16.263670639797585,12.294573879313676,0.701228839979446,Semi-Arid|3,Semi-Arid,3,1
fwi,17478,0.6692085723087347,0.7708669457176414,0.7651226160307342,0.9581236753162674,0.5876187952312366,21.95193162084378,15.30033025850958,0.6421691403117744,Semi-Arid|4,Semi-Arid,4,1
fwi,16507,0.8693551223642617,0.8888653858254548,0.9341787724779841,1.0196149838701698,0.7866935681462872,15.008386723454452,11.382939554815678,0.4618510927276374,Semi-Arid|5,Semi-Arid,5,1
fwi,16507,0.8523433729727236,0.8870462063761168,0.9056952973293385,1.0122695992291333,0.7858338280816205,14.578910952712755,11.151225465067007,0.4627809113591219,Semi-Arid|6,Semi-Arid,6,1
fwi,17478,0.8336465615366764,0.8557151257407845,0.9189358251466485,0.9831494479639854,0.7267221740978036,11.652268694200894,9.04580396214566,0.5227598166483307,Semi-Arid|7,Semi-Arid,7,1
fwi,17478,0.7784035908925968,0.7889579109931649,0.9356296478860461,0.9794412314169275,0.5975031303286829,11.553480723463807,9.08928315734789,0.6344264099730694,Semi-Arid|8,Semi-Arid,8,1
fwi,16507,0.7945607369274003,0.8327711571798337,0.8836667351170484,0.973422257008655,0.6875222297730956,13.000855440514894,9.974475509117863,0.5589971111078342,Semi-Arid|9,Semi-Arid,9,1
fwi,2839,0.5756835019751285,0.6553322883316924,0.7605675880346223,1.0626161251584993,0.408823558630092,7.576869623928265,5.9631366923835065,0.7688799915265764,Sub-Humid|1,Sub-Humid,1,1
fwi,2839,0.623013341394598,0.8236688947449279,0.6908110071232526,0.8757886930676066,0.628014793697783,13.206694987701141,10.366673373872647,0.609905899546985,Sub-Humid|10,Sub-Humid,10,1
fwi,3006,0.32459851127747474,0.6290033028667225,0.4593525624038672,0.8380463958241796,0.31241511266856514,13.71800874145934,9.401585941637768,0.8292073849957168,Sub-Humid|11,Sub-Humid,11,1
fwi,2839,0.6338816453550105,0.7153323331857891,0.7731437897143077,1.0392839526183593,0.5052021901989238,9.06194379293846,6.397527638314615,0.7034186589798967,Sub-Humid|12,Sub-Humid,12,1
fwi,2672,0.6151358168033704,0.6718883473291646,0.8849307807902057,1.1649916897291202,0.32191677719222245,6.333976485600801,4.684793507941937,0.8234580880699257,Sub-Humid|2,Sub-Humid,2,1
fwi,3006,0.49383383548831716,0.647378583048859,0.6406182046139637,0.9479707048966964,0.410993922109656,9.95008662160558,7.556801300693996,0.7674673138905291,Sub-Humid|3,Sub-Humid,3,1
fwi,3006,0.7507519284145836,0.7710566089372313,0.9341022251202491,0.9267401327900011,0.5445296342441813,9.404594483842144,7.467066517947854,0.6748854463950298,Sub-Humid|4,Sub-Humid,4,1
fwi,2839,0.8908995580239858,0.8960757092012042,0.9674051685705664,1.0063423328055041,0.7977900690842998,7.879746220766685,6.158981686518562,0.449677585516223,Sub-Humid|5,Sub-Humid,5,1
fwi,2839,0.7974282958869836,0.8642062708605459,0.859643042066589,0.9461921679183157,0.7390859136390009,10.338860013320774,7.805598459953528,0.5107975003472502,Sub-Humid|6,Sub-Humid,6,1
fwi,3006,0.8120978292804244,0.8725499202864968,0.8863534009426781,0.9215898382551437,0.7344760299025423,9.046670952690452,7.008892971804019,0.5152901804783957,Sub-Humid|7,Sub-Humid,7,1
fwi,3006,0.6749007001001013,0.7168036201113398,0.8829730656556087,0.891399531072304,0.380077256749743,10.86402956961159,8.332924653379889,0.7873517277876875,Sub-Humid|8,Sub-Humid,8,1
fwi,2839,0.7121594867450292,0.8954078764804498,0.7748250592174649,0.8543672605073364,0.7252821734421692,11.825353968884093,8.937777160578326,0.524135313213898,Sub-Humid|9,Sub-Humid,9,1
fwi,9741,0.6242547789229738,0.748291678186941,0.7266499520919514,1.0557417545556684,0.5512722906444343,14.337877375663638,11.12045743472452,0.6698714125528612,Arid|1,Arid,1,2
fwi,9741,0.8082844772789222,0.8480948748333408,0.8830673088759801,1.0025338403288768,0.7180172430008385,17.36816467368829,13.06417885061313,0.5310204864213446,Arid|10,Arid,10,2
fwi,10314,0.6543477029994467,0.7188360885879648,0.7995384523910616,1.0154121144387527,0.5091995310402467,16.657798107513404,12.760377553377761,0.7005715302235406,Arid|11,Arid,11,2
fwi,9741,0.5683316067484269,0.7265725674314077,0.6768626680134189,1.0846008600898167,0.5121021030988196,16.585336862816987,12.192600324800322,0.6984968839595351,Arid|12,Arid,12,2
fwi,9168,0.5806632783105018,0.7325708639241837,0.6845290108487931,1.0693036675724836,0.5222024741120375,15.844929981760943,12.00563598209067,0.6912289967065636,Arid|2,Arid,2,2
fwi,10314,0.6701866458997143,0.8205836734382492,0.746615705545333,1.1112790619554203,0.6358911832981267,16.41658195872564,12.809606216407316,0.6034142993846544,Arid|3,Arid,3,2
fwi,10314,0.5908707745830435,0.7663351465243016,0.6661752856166943,0.9632778076993824,0.5703202634183273,24.572760002928838,17.072281218374588,0.6554996083764449,Arid|4,Arid,4,2
fwi,9741,0.7470862229032136,0.7806589738590615,0.8743803787910688,1.0086373412649783,0.5998711820186662,17.597416771025745,13.924659076504934,0.6325573633919169,Arid|5,Arid,5,2
fwi,9741,0.7709799453692372,0.8104735996890744,0.8715906244797589,1.0064001005274983,0.6526660928553498,16.499894291070678,13.035420753797753,0.5893504111686444,Arid|6,Arid,6,2
fwi,10314,0.822586824601224,0.8907528128445971,0.8621426103496296,1.0231479377590136,0.7894940619166461,12.515286162131222,9.935954379436089,0.45880926111332354,Arid|7,Arid,7,2
fwi,10314,0.8186498569439437,0.8444879752015108,0.9206939081194856,1.0491368326224388,0.6895783835907487,12.572907062202443,9.910592245211893,0.5571549303463547,Arid|8,Arid,8,2
fwi,9741,0.7906187965629464,0.8440220592582388,0.8605807165967592,1.008581012180113,0.7116312759036252,13.676523902881916,10.553591919958572,0.5369997431064327,Arid|9,Arid,9,2
fwi,4658,0.5795662460701794,0.7147978880201112,0.6950052493801839,0.950984707895513,0.5079531788040339,4.781346532257237,3.3859739381677154,0.7014604915431559,Humid|1,Humid,1,2
fwi,4658,0.6194071072681784,0.8276658697384552,0.7057750167154294,0.830933277206403,0.6321829786850377,9.554414647943808,6.314625744194832,0.6064792010571857,Humid|10,Humid,10,2
fwi,4932,0.33955444749991803,0.6673818800416238,0.4588639718834286,0.8190986092736845,0.36385344037098344,9.017569962569734,5.509698406378352,0.7975879635682929,Humid|11,Humid,11,2
fwi,4658,0.6351274169056786,0.7084595113770961,0.7830755080707086,1.0328619869858726,0.4950181103862811,4.881195841347898,3.3513800640309634,0.7106207776400286,Humid|12,Humid,12,2
fwi,4384,0.5587835705045513,0.6643325243595957,0.7595316118961885,0.844519333109658,0.3999762375217891,4.1998590422560955,2.9705128810647934,0.7746120077033476,Humid|2,Humid,2,2
fwi,4932,0.536552699319568,0.7285249871829026,0.6464526691172584,0.8731575672354681,0.49222937982925297,5.346904297310447,3.600403611035513,0.7125802552490119,Humid|3,Humid,3,2
fwi,4932,0.6471456586701047,0.7526095308535355,0.7762325949390773,0.8849683069621791,0.5305988953024048,5.572616852188585,3.9333243022047846,0.6851285315162368,Humid|4,Humid,4,2
fwi,4658,0.7701002255136724,0.8774409234433643,0.8062984455229681,0.9823113919250139,0.7644067243269201,5.105371022847878,3.6631537617670133,0.48537951715444266,Humid|5,Humid,5,2
fwi,4658,0.727249526182437,0.8404057481993447,0.7972776469190685,0.9115345077376252,0.6878141243168332,7.072862694471095,5.394648756648487,0.5587359624036802,Humid|6,Humid,6,2
fwi,4932,0.8073499508514709,0.8682860591153053,0.8971618640571908,0.9041365710535966,0.7251702228095893,6.664372626890279,5.219944983135351,0.5242420978807508,Humid|7,Humid,7,2
fwi,4932,0.7049890452373277,0.7655382618159052,0.8668085972739902,0.8803371110262068,0.5016721943516943,8.156637636827805,6.474785700014554,0.7059233709463838,Humid|8,Humid,8,2
fwi,4658,0.6406861916397413,0.8876159271283318,0.7297826199684178,0.7915322553199278,0.6735199740373412,9.891100944431452,7.13772360084765,0.5713843067171681,Humid|9,Humid,9,2
fwi,16507,0.5863770506582047,0.6904273775109472,0.7420722821212817,1.0933917982337424,0.4491070670810745,12.535918402981151,9.723770218878624,0.7422216198137357,Semi-Arid|1,Semi-Arid,1,2
fwi,16507,0.7406948819362715,0.8568239957669951,0.7916131339259321,0.9424266544854025,0.7211823681481635,16.78755128133111,12.840894000266381,0.5280318473840725,Semi-Arid|10,Semi-Arid,10,2
fwi,17478,0.5187310579435473,0.6296208857152521,0.6939789714235112,0.9718888570354991,0.38951600180755364,16.30730746904636,12.400206736924222,0.7813347542458651,Semi-Arid|11,Semi-Arid,11,2
fwi,16507,0.46620257671471577,0.7155093397416421,0.5491041473370396,1.0264136968846551,0.48341636030602,21.333519199253637,13.091191242063728,0.7187375318528871,Semi-Arid|12,Semi-Arid,12,2
fwi,15536,0.5643509069899114,0.6889435431682994,0.6969943305203451,1.0349510681812064,0.4715120609554688,13.682980692849023,10.161401546816078,0.7269717594546099,Semi-Arid|2,Semi-Arid,2,2
fwi,17478,0.6875407664857776,0.7583696829795916,0.809950558195274,1.0559175480026117,0.5638474293439859,15.317151911836898,11.401106119858003,0.6604184814615761,Semi-Arid|3,Semi-Arid,3,2
fwi,17478,0.6658166884892496,0.7840441416294858,0.752034797914619,0.9403777601686937,0.6003539474946205,21.61031381130476,14.859062177432335,0.6321756500414895,Semi-Arid|4,Semi-Arid,4,2
fwi,16507,0.8504544668222827,0.8906076774162068,0.9013782636504057,1.0259024974186317,0.7907383428220724,14.865409125419033,11.493570306448675,0.4574512620792816,Semi-Arid|5,Semi-Arid,5,2
fwi,16507,0.8348605574572159,0.8866028525036495,0.8810735145108964,1.016389431724208,0.7848397156511078,14.612707833357646,11.458209667958243,0.46385373163195776,Semi-Arid|6,Semi-Arid,6,2
fwi,17478,0.8267941199893303,0.8492094611572436,0.9148016658236973,1.0019323869604015,0.7168342591300612,11.861200520251044,9.153934730588047,0.5321331984286818,Semi-Arid|7,Semi-Arid,7,2
fwi,17478,0.788040365829091,0.7968721649362741,0.9404058051025892,0.9892994825022912,0.6134717414944764,11.321975624784692,8.903718143238564,0.6217139684014857,Semi-Arid|8,Semi-Arid,8,2
