cell_id,centroid_mean,lon,lat
311,30.308980386811665,-103.75,30.75
312,30.461143750495886,-103.5,30.75
313,30.277347467521814,-103.25,30.75
314,30.42059462108703,-103.0,30.75
315,30.43713146664847,-102.75,30.75
316,30.307119760433963,-102.5,30.75
317,30.247994201593638,-102.25,30.75
318,30.306826434433997,-102.0,30.75
319,30.236822112409683,-101.75,30.75
320,30.078255801049707,-101.5,30.75
321,30.144441970015087,-101.25,30.75
322,30.176870420319922,-101.0,30.75
323,30.211490853904532,-100.75,30.75
324,30.19126853339213,-100.5,30.75
325,30.249243796377694,-100.25,30.75
326,30.217645586065302,-100.0,30.75
327,30.126713940616284,-99.75,30.75
328,30.053400368658075,-99.5,30.75
329,30.027428826225403,-99.25,30.75
330,30.198493867534964,-99.0,30.75
331,30.37631828218806,-98.75,30.75
332,30.34005159402911,-98.5,30.75
333,30.20740098297784,-98.25,30.75
334,30.138212186745548,-98.0,30.75
335,30.33722255005313,-97.75,30.75
336,30.41174307986512,-97.5,30.75
337,30.43594317269386,-97.25,30.75
338,30.427156383623906,-97.0,30.75
339,30.518204824887036,-96.75,30.75
340,30.582703109897782,-96.5,30.75
341,30.547726928126604,-96.25,30.75
342,30.766445045558683,-96.0,30.75
343,30.73699490407419,-95.75,30.75
344,31.040278527254348,-95.5,30.75
345,30.842487879616854,-95.25,30.75
346,30.808994595615122,-95.0,30.75
347,30.942636397931402,-94.75,30.75
348,30.98366266744247,-94.5,30.75
349,30.90275236549608,-94.25,30.75
350,30.95870359190247,-94.0,30.75
351,31.08604871362779,-93.75,30.75
352,30.15842161279691,-105.5,31.0
353,30.081087426304855,-105.25,31.0
354,30.20110128694796,-105.0,31.0
355,30.231860198286505,-104.75,31.0
356,30.005532343706225,-104.5,31.0
357,30.032057531545153,-104.25,31.0
358,30.210936519845674,-104.0,31.0
359,30.293217065072476,-103.75,31.0
360,30.393174119936212,-103.5,31.0
361,30.48901922179189,-103.25,31.0
362,30.476080787580802,-103.0,31.0
363,30.41933062545454,-102.75,31.0
364,30.32021584404328,-102.5,31.0
365,30.17541580681707,-102.25,31.0
366,30.309607866721656,-102.0,31.0
367,30.223225039573244,-101.75,31.0
368,30.19536899178862,-101.5,31.0
369,30.206967765622093,-101.25,31.0
370,30.147530904335255,-101.0,31.0
371,30.194630273993916,-100.75,31.0
372,30.154214359054233,-100.5,31.0
373,30.206938662747582,-100.25,31.0
374,30.247940259161762,-100.0,31.0
375,30.180039438537698,-99.75,31.0
376,30.026473871246427,-99.5,31.0
377,30.09092159220913,-99.25,31.0
378,30.237893829612474,-99.0,31.0
379,30.360500552147503,-98.75,31.0
380,30.258791963760114,-98.5,31.0
381,30.124049903840596,-98.25,31.0
382,30.002003260285935,-98.0,31.0
383,30.052618662430458,-97.75,31.0
384,30.25291119632535,-97.5,31.0
385,30.463215061521623,-97.25,31.0
386,30.548437089448832,-96.75,31.0
387,30.585556438718832,-96.5,31.0
388,30.732234047381027,-96.0,31.0
389,31.220976637748,-95.75,31.0
390,31.083255169507957,-95.5,31.0
391,30.890868095945244,-95.25,31.0
392,30.926269908272214,-95.0,31.0
393,30.843364961461003,-94.75,31.0
394,30.912651265353468,-94.5,31.0
395,30.909187746037226,-94.0,31.0
396,30.979234278083403,-93.75,31.0
397,30.27349871178516,-105.75,31.25
398,30.161520450899843,-105.5,31.25
